date,category,revenue,cost,units_sold
2026-06-06,Clothing,978.47,620.79,20
2026-06-06,Electronics,3716.77,2564.97,14
2026-06-07,Electronics,1834.45,1216.02,8
2026-06-07,Electronics,3474.13,2042.69,15
2026-06-07,Books,195.24,99.75,10
2026-06-07,Home & Kitchen,918.41,529.59,10
2026-06-07,Sports,1660.71,846.42,14
2026-06-07,Clothing,719.06,444.09,15
2026-06-07,Electronics,529.98,323.78,2
2026-06-08,Clothing,578.61,290.99,13
2026-06-08,Home & Kitchen,1585.97,924.66,20
2026-06-08,Home & Kitchen,846.32,426.72,10
2026-06-08,Sports,1269.06,706.45,10
2026-06-08,Home & Kitchen,1200.23,689.85,14
2026-06-08,Sports,1678.81,901.34,15
2026-06-08,Books,351.84,179.52,18
2026-06-08,Sports,2152.78,1241.2,18
2026-06-09,Clothing,223.85,112.25,5
2026-06-09,Home & Kitchen,1546.31,934.11,18
2026-06-09,Home & Kitchen,1117.79,773.46,13
2026-06-09,Electronics,2299.0,1169.76,10
2026-06-09,Electronics,2016.51,1268.62,8
2026-06-09,Electronics,3812.18,2548.19,14
2026-06-09,Electronics,3534.0,2462.51,13
2026-06-09,Books,294.38,187.26,14
2026-06-09,Books,237.07,151.29,13
2026-06-09,Sports,1636.91,1122.28,15
2026-06-09,Home & Kitchen,1627.21,1032.43,20
2026-06-10,Electronics,4370.55,2544.35,17
2026-06-10,Electronics,2834.14,1745.61,11
2026-06-10,Books,439.08,223.18,20
2026-06-10,Clothing,499.94,346.27,11
2026-06-10,Sports,2017.23,1029.18,18
2026-06-10,Clothing,93.2,56.79,2
2026-06-10,Clothing,699.63,389.08,17
2026-06-10,Electronics,2641.21,1844.89,10
2026-06-10,Sports,1805.77,1202.87,14
2026-06-10,Books,215.57,125.45,11
2026-06-10,Home & Kitchen,180.56,100.13,2
2026-06-11,Home & Kitchen,90.65,59.9,1
2026-06-11,Sports,2188.62,1397.24,20
2026-06-11,Clothing,178.55,113.41,4
2026-06-11,Books,145.89,91.41,8
2026-06-11,Home & Kitchen,1587.79,797.41,17
2026-06-11,Sports,1816.77,1268.66,14
2026-06-11,Electronics,1942.18,1231.04,8
2026-06-11,Home & Kitchen,1254.19,716.85,15
2026-06-12,Clothing,426.94,269.48,10
2026-06-12,Home & Kitchen,1445.73,742.86,18
2026-06-12,Home & Kitchen,1183.58,602.04,14
2026-06-12,Home & Kitchen,656.96,426.33,8
2026-06-12,Electronics,1832.26,1139.71,7
2026-06-12,Sports,111.2,61.41,1
2026-06-12,Sports,2080.51,1254.01,17
2026-06-13,Clothing,88.48,60.31,2
2026-06-13,Sports,881.53,496.95,8
2026-06-13,Clothing,458.23,281.71,11
2026-06-13,Electronics,2492.01,1602.07,11
2026-06-13,Books,333.03,183.41,18
2026-06-14,Books,235.17,158.11,13
2026-06-14,Home & Kitchen,183.28,113.52,2
2026-06-14,Home & Kitchen,838.04,544.7,10
2026-06-14,Home & Kitchen,1120.94,601.0,13
2026-06-14,Clothing,809.48,467.03,17
2026-06-15,Sports,2198.01,1286.5,18
2026-06-15,Electronics,3440.84,1838.67,15
2026-06-15,Electronics,1269.74,638.58,5
2026-06-15,Sports,1592.71,919.77,13
2026-06-15,Electronics,4768.79,3274.02,18
2026-06-16,Home & Kitchen,1190.34,704.33,13
2026-06-16,Books,43.09,28.58,2
2026-06-16,Books,293.21,158.83,14
2026-06-16,Electronics,2826.17,1593.81,11
2026-06-16,Electronics,4756.19,2587.99,20
2026-06-16,Sports,1800.66,1080.42,14
2026-06-16,Books,132.69,86.46,7
2026-06-16,Books,192.5,112.06,10
2026-06-16,Sports,1172.63,674.02,10
2026-06-16,Sports,1116.33,592.08,10
2026-06-16,Books,309.7,166.15,17
2026-06-17,Sports,1705.22,923.14,14
2026-06-17,Home & Kitchen,1106.04,598.72,14
2026-06-17,Books,132.5,76.99,7
2026-06-17,Home & Kitchen,1597.53,1049.06,20
2026-06-17,Electronics,1323.76,747.59,5
2026-06-18,Electronics,1091.26,627.84,4
2026-06-18,Home & Kitchen,77.56,46.32,1
2026-06-18,Home & Kitchen,856.91,531.28,11
2026-06-18,Home & Kitchen,1200.93,822.93,14
2026-06-18,Home & Kitchen,1252.99,663.26,14
2026-06-18,Clothing,481.8,272.52,10
2026-06-18,Electronics,5145.73,3098.32,20
2026-06-19,Clothing,811.27,545.4,17
2026-06-19,Home & Kitchen,1091.05,694.49,14
2026-06-19,Home & Kitchen,1004.42,560.35,11
2026-06-19,Home & Kitchen,787.39,504.72,10
2026-06-19,Books,85.97,45.89,4
2026-06-19,Home & Kitchen,84.58,56.65,1
2026-06-19,Books,186.73,124.6,10
2026-06-20,Electronics,490.18,301.74,2
2026-06-20,Home & Kitchen,84.34,56.15,1
2026-06-20,Home & Kitchen,461.88,268.1,5
2026-06-20,Sports,2100.81,1419.84,18
2026-06-20,Books,204.48,114.77,10
2026-06-20,Clothing,349.19,234.83,8
2026-06-20,Home & Kitchen,1850.3,1035.53,20
2026-06-20,Sports,2597.53,1413.84,20
2026-06-20,Clothing,856.02,518.33,20
2026-06-21,Clothing,88.93,60.12,2
2026-06-21,Sports,1447.17,1008.02,13
2026-06-21,Clothing,44.56,30.03,1
2026-06-21,Sports,590.66,388.07,5
2026-06-21,Home & Kitchen,633.11,398.7,7
2026-06-21,Electronics,3718.52,2050.13,15
2026-06-21,Clothing,225.58,127.27,5
2026-06-21,Electronics,2672.83,1475.19,10
2026-06-21,Home & Kitchen,1120.64,667.61,13
2026-06-22,Electronics,450.02,307.36,2
2026-06-22,Clothing,472.76,305.67,10
2026-06-22,Electronics,522.28,285.36,2
2026-06-22,Electronics,2644.24,1450.19,11
2026-06-22,Home & Kitchen,1337.23,858.77,15
2026-06-22,Clothing,614.18,419.83,13
2026-06-23,Clothing,472.52,262.2,10
2026-06-23,Electronics,4123.05,2434.42,18
2026-06-23,Electronics,1815.28,1203.56,7
2026-06-23,Electronics,536.6,269.36,2
2026-06-23,Clothing,89.29,62.3,2
2026-06-23,Clothing,637.87,354.58,14
2026-06-23,Clothing,48.48,28.11,1
2026-06-23,Clothing,643.56,390.6,15
2026-06-23,Electronics,3619.41,2500.32,15
2026-06-23,Home & Kitchen,657.88,437.82,8
2026-06-24,Electronics,1896.47,1036.83,8
2026-06-24,Home & Kitchen,687.55,383.84,8
2026-06-24,Home & Kitchen,1658.13,1119.54,20
2026-06-24,Books,399.44,226.1,20
2026-06-24,Clothing,49.08,25.13,1
2026-06-24,Clothing,43.33,27.51,1
2026-06-24,Home & Kitchen,894.53,505.64,11
2026-06-24,Clothing,189.39,96.31,4
2026-06-24,Sports,1995.26,1066.22,18
2026-06-24,Electronics,3928.41,2073.42,15
2026-06-25,Sports,866.54,521.97,8
2026-06-25,Electronics,1358.7,926.42,5
2026-06-25,Electronics,4041.14,2181.58,15
2026-06-25,Books,39.02,22.58,2
2026-06-25,Home & Kitchen,158.7,89.2,2
2026-06-25,Sports,2160.95,1400.07,17
2026-06-25,Books,18.62,11.35,1
2026-06-26,Home & Kitchen,160.5,86.22,2
2026-06-26,Clothing,883.82,610.48,18
2026-06-26,Clothing,40.89,21.91,1
2026-06-26,Home & Kitchen,1150.52,691.16,13
2026-06-26,Clothing,45.07,28.13,1
2026-06-26,Sports,1770.04,1107.54,14
2026-06-26,Sports,237.61,144.04,2
2026-06-26,Home & Kitchen,1219.85,807.12,14
2026-06-26,Electronics,253.09,160.53,1
2026-06-26,Clothing,479.23,305.63,10
2026-06-27,Books,19.7,13.66,1
2026-06-27,Clothing,185.14,114.82,4
2026-06-27,Electronics,5324.0,2879.31,20
2026-06-27,Home & Kitchen,-50.0,97.32,2
2026-06-27,Clothing,442.18,238.72,10
2026-06-27,Books,146.31,90.0,8
2026-06-27,Home & Kitchen,1243.62,711.45,14
2026-06-27,Sports,902.81,549.9,8
2026-06-27,Electronics,236.58,158.46,1
2026-06-28,Books,424.99,241.64,20
2026-06-28,Electronics,1774.64,1093.73,7
2026-06-28,Clothing,639.93,376.76,15
2026-06-28,Sports,1209.37,816.72,11
2026-06-28,Clothing,243.74,137.85,5
2026-06-29,Electronics,4354.94,3006.7,18
2026-06-29,Books,224.29,151.66,11
2026-06-29,Electronics,4281.36,2538.88,18
2026-06-29,Sports,1258.54,860.64,10
2026-06-29,Electronics,3389.49,2346.58,14
2026-06-30,Sports,465.76,317.61,4
2026-06-30,Electronics,4472.85,2962.64,17
2026-06-30,Home & Kitchen,1350.56,900.27,15
2026-06-30,Books,108.82,67.97,5
2026-06-30,Books,235.18,136.17,11
2026-06-30,Electronics,3186.22,2022.46,13
2026-06-10,Clothing,93.2,56.79,2
2026-06-01,Sports,2311.18,1246.3,18
2026-06-09,Clothing,223.85,112.25,5
