id,date,category,revenue,cost,units_sold,profit,cleaned_at
23,2026-01-03,Electronics,1265.32,827.76,5,437.55999999999995,2026-07-14 18:41:12
24,2026-01-03,Electronics,1683.84,951.43,7,732.41,2026-07-14 18:41:12
25,2026-01-03,Home & Kitchen,88.59,58.3,1,30.290000000000006,2026-07-14 18:41:12
26,2026-01-03,Home & Kitchen,1048.06,710.0,12,338.05999999999995,2026-07-14 18:41:12
27,2026-01-03,Home & Kitchen,461.24,290.68,5,170.56,2026-07-14 18:41:12
28,2026-01-03,Sports,108.38,63.37,1,45.01,2026-07-14 18:41:12
29,2026-01-04,Books,244.49,166.05,13,78.44,2026-07-14 18:41:12
30,2026-01-04,Books,278.76,139.77,13,138.98999999999998,2026-07-14 18:41:12
31,2026-01-04,Books,86.28,52.45,4,33.83,2026-07-14 18:41:12
32,2026-01-04,Clothing,339.95,191.6,7,148.35,2026-07-14 18:41:12
33,2026-01-04,Electronics,236.4,138.39,1,98.01000000000002,2026-07-14 18:41:12
34,2026-01-04,Electronics,1012.66,647.19,4,365.4699999999999,2026-07-14 18:41:12
35,2026-01-04,Electronics,1342.87,887.28,5,455.5899999999999,2026-07-14 18:41:12
36,2026-01-04,Home & Kitchen,548.81,342.94,6,205.86999999999995,2026-07-14 18:41:12
37,2026-01-04,Home & Kitchen,797.23,416.3,9,380.93,2026-07-14 18:41:12
38,2026-01-04,Sports,522.51,323.84,4,198.67000000000002,2026-07-14 18:41:12
39,2026-01-04,Sports,857.54,521.36,7,336.17999999999995,2026-07-14 18:41:12
40,2026-01-05,Books,228.09,136.73,12,91.36000000000001,2026-07-14 18:41:12
41,2026-01-05,Books,174.17,98.34,8,75.82999999999998,2026-07-14 18:41:12
42,2026-01-05,Electronics,3305.48,1731.98,14,1573.5,2026-07-14 18:41:12
43,2026-01-05,Electronics,500.27,255.29,2,244.98,2026-07-14 18:41:12
44,2026-01-05,Electronics,972.73,675.42,4,297.31000000000006,2026-07-14 18:41:12
45,2026-01-05,Electronics,1196.21,606.93,5,589.2800000000001,2026-07-14 18:41:12
46,2026-01-05,Sports,123.22,78.39,1,44.83,2026-07-14 18:41:12
47,2026-01-06,Books,219.43,120.34,10,99.09,2026-07-14 18:41:12
48,2026-01-06,Books,147.33,80.67,7,66.66000000000001,2026-07-14 18:41:12
49,2026-01-06,Books,186.87,107.89,9,78.98,2026-07-14 18:41:12
50,2026-01-06,Clothing,333.9,189.73,8,144.17,2026-07-14 18:41:12
51,2026-01-06,Electronics,542.47,366.42,2,176.05,2026-07-14 18:41:12
52,2026-01-06,Electronics,2169.35,1165.6,9,1003.75,2026-07-14 18:41:12
53,2026-01-06,Home & Kitchen,852.06,464.63,10,387.42999999999995,2026-07-14 18:41:12
54,2026-01-06,Sports,366.54,232.94,3,133.60000000000002,2026-07-14 18:41:12
55,2026-01-06,Sports,526.41,305.19,4,221.21999999999997,2026-07-14 18:41:12
56,2026-01-07,Books,219.29,132.3,10,86.98999999999998,2026-07-14 18:41:12
57,2026-01-07,Books,239.17,157.15,11,82.01999999999998,2026-07-14 18:41:12
58,2026-01-07,Books,252.52,131.38,14,121.14000000000001,2026-07-14 18:41:12
59,2026-01-07,Books,156.94,106.34,8,50.599999999999994,2026-07-14 18:41:12
60,2026-01-07,Electronics,549.63,380.94,2,168.69,2026-07-14 18:41:12
61,2026-01-07,Electronics,780.05,522.11,3,257.93999999999994,2026-07-14 18:41:12
62,2026-01-07,Sports,645.92,347.34,5,298.58,2026-07-14 18:41:12
63,2026-01-08,Books,18.07,10.82,1,7.25,2026-07-14 18:41:12
64,2026-01-08,Books,164.79,110.38,8,54.41,2026-07-14 18:41:12
65,2026-01-08,Clothing,225.12,138.53,5,86.59,2026-07-14 18:41:12
66,2026-01-08,Clothing,267.21,186.75,6,80.45999999999998,2026-07-14 18:41:12
67,2026-01-08,Electronics,252.13,151.72,1,100.41,2026-07-14 18:41:12
68,2026-01-08,Electronics,3109.55,1744.68,13,1364.8700000000001,2026-07-14 18:41:12
69,2026-01-08,Sports,388.23,243.12,3,145.11,2026-07-14 18:41:12
70,2026-01-09,Electronics,1357.08,794.76,5,562.3199999999999,2026-07-14 18:41:12
71,2026-01-09,Home & Kitchen,77.24,53.98,1,23.259999999999998,2026-07-14 18:41:12
72,2026-01-09,Sports,1504.07,836.5,12,667.5699999999999,2026-07-14 18:41:12
73,2026-01-09,Sports,1819.39,1044.39,14,775.0,2026-07-14 18:41:12
74,2026-01-09,Sports,394.58,203.24,3,191.33999999999997,2026-07-14 18:41:12
75,2026-01-10,Books,58.06,33.39,3,24.67,2026-07-14 18:41:12
76,2026-01-10,Clothing,474.73,267.99,11,206.74,2026-07-14 18:41:12
77,2026-01-10,Clothing,396.47,265.18,9,131.29000000000002,2026-07-14 18:41:12
78,2026-01-10,Electronics,1059.66,667.58,4,392.08000000000004,2026-07-14 18:41:12
79,2026-01-10,Electronics,2165.3,1304.09,8,861.2100000000003,2026-07-14 18:41:12
80,2026-01-10,Electronics,2341.12,1338.88,9,1002.2399999999998,2026-07-14 18:41:12
81,2026-01-10,Home & Kitchen,621.58,336.76,8,284.82000000000005,2026-07-14 18:41:12
82,2026-01-10,Sports,1274.25,843.58,10,430.66999999999996,2026-07-14 18:41:12
83,2026-01-10,Sports,801.1,478.3,7,322.8,2026-07-14 18:41:12
84,2026-01-11,Books,262.33,155.16,12,107.16999999999999,2026-07-14 18:41:12
85,2026-01-11,Books,284.42,182.86,13,101.56,2026-07-14 18:41:12
86,2026-01-11,Clothing,407.75,206.92,10,200.83,2026-07-14 18:41:12
87,2026-01-11,Home & Kitchen,984.64,655.35,12,329.28999999999996,2026-07-14 18:41:12
88,2026-01-11,Home & Kitchen,712.22,495.97,9,216.25,2026-07-14 18:41:12
89,2026-01-11,Sports,471.49,301.71,4,169.78000000000003,2026-07-14 18:41:12
90,2026-01-12,Clothing,210.8,108.81,5,101.99000000000001,2026-07-14 18:41:12
91,2026-01-12,Electronics,2945.37,1574.77,12,1370.6,2026-07-14 18:41:12
92,2026-01-12,Electronics,473.98,245.89,2,228.09000000000003,2026-07-14 18:41:12
93,2026-01-12,Electronics,1908.33,1121.71,8,786.6199999999999,2026-07-14 18:41:12
94,2026-01-12,Electronics,2173.85,1364.43,8,809.4199999999998,2026-07-14 18:41:12
95,2026-01-12,Sports,764.02,468.5,7,295.52,2026-07-14 18:41:12
96,2026-01-13,Books,38.09,19.16,2,18.930000000000003,2026-07-14 18:41:12
97,2026-01-13,Home & Kitchen,850.18,516.8,10,333.38,2026-07-14 18:41:12
98,2026-01-13,Sports,115.47,80.36,1,35.11,2026-07-14 18:41:12
99,2026-01-13,Sports,1300.94,849.09,12,451.85,2026-07-14 18:41:12
100,2026-01-13,Sports,650.07,340.13,6,309.94000000000005,2026-07-14 18:41:12
101,2026-01-13,Sports,764.07,527.08,7,236.99,2026-07-14 18:41:12
102,2026-01-13,Sports,814.18,482.76,7,331.41999999999996,2026-07-14 18:41:12
103,2026-01-14,Books,207.87,130.08,10,77.78999999999999,2026-07-14 18:41:12
104,2026-01-14,Books,233.24,148.21,11,85.03,2026-07-14 18:41:12
105,2026-01-14,Books,174.2,120.0,8,54.19999999999999,2026-07-14 18:41:12
106,2026-01-14,Clothing,464.88,238.89,11,225.99,2026-07-14 18:41:12
107,2026-01-14,Clothing,537.55,342.21,13,195.33999999999997,2026-07-14 18:41:12
108,2026-01-14,Clothing,669.62,372.56,14,297.06,2026-07-14 18:41:12
109,2026-01-14,Electronics,2409.49,1611.89,10,797.5999999999997,2026-07-14 18:41:12
110,2026-01-14,Home & Kitchen,944.21,625.29,12,318.9200000000001,2026-07-14 18:41:12
111,2026-01-14,Home & Kitchen,435.7,289.34,5,146.36,2026-07-14 18:41:12
112,2026-01-15,Books,59.92,30.96,3,28.96,2026-07-14 18:41:12
113,2026-01-15,Books,173.5,119.72,9,53.78,2026-07-14 18:41:12
114,2026-01-15,Books,173.52,117.84,9,55.68000000000001,2026-07-14 18:41:12
115,2026-01-15,Books,190.93,106.23,9,84.7,2026-07-14 18:41:12
116,2026-01-15,Clothing,236.28,156.27,5,80.00999999999999,2026-07-14 18:41:12
117,2026-01-15,Electronics,690.47,469.87,3,220.60000000000002,2026-07-14 18:41:12
118,2026-01-15,Electronics,736.89,423.27,3,313.62,2026-07-14 18:41:12
119,2026-01-15,Electronics,902.17,614.45,4,287.7199999999999,2026-07-14 18:41:12
120,2026-01-15,Sports,1419.55,922.95,12,496.5999999999999,2026-07-14 18:41:12
121,2026-01-16,Books,105.83,69.63,5,36.2,2026-07-14 18:41:12
122,2026-01-16,Clothing,579.62,387.01,12,192.61,2026-07-14 18:41:12
123,2026-01-16,Clothing,82.46,42.63,2,39.82999999999999,2026-07-14 18:41:12
124,2026-01-16,Clothing,235.67,143.57,5,92.1,2026-07-14 18:41:12
125,2026-01-16,Home & Kitchen,985.05,625.02,12,360.03,2026-07-14 18:41:12
126,2026-01-16,Home & Kitchen,185.93,118.55,2,67.38000000000001,2026-07-14 18:41:12
127,2026-01-16,Home & Kitchen,662.9,380.59,8,282.31,2026-07-14 18:41:12
128,2026-01-16,Sports,877.97,583.3,8,294.6700000000001,2026-07-14 18:41:12
129,2026-01-17,Books,63.33,38.74,3,24.589999999999996,2026-07-14 18:41:12
130,2026-01-17,Clothing,166.28,87.05,4,79.23,2026-07-14 18:41:12
131,2026-01-17,Electronics,2871.43,1934.54,12,936.8899999999999,2026-07-14 18:41:12
132,2026-01-17,Electronics,1836.12,1132.29,7,703.8299999999999,2026-07-14 18:41:12
133,2026-01-17,Electronics,1920.1,1249.36,7,670.74,2026-07-14 18:41:12
134,2026-01-17,Home & Kitchen,919.08,479.98,10,439.1,2026-07-14 18:41:12
135,2026-01-17,Home & Kitchen,997.01,591.96,13,405.04999999999995,2026-07-14 18:41:12
136,2026-01-17,Sports,763.5,531.08,6,232.41999999999996,2026-07-14 18:41:12
137,2026-01-18,Books,79.42,45.32,4,34.1,2026-07-14 18:41:12
138,2026-01-18,Books,95.06,60.75,5,34.31,2026-07-14 18:41:12
139,2026-01-18,Books,163.84,91.01,8,72.83,2026-07-14 18:41:12
140,2026-01-18,Clothing,494.4,343.55,12,150.84999999999997,2026-07-14 18:41:12
141,2026-01-18,Electronics,2629.53,1814.59,11,814.9400000000003,2026-07-14 18:41:12
142,2026-01-18,Electronics,466.62,253.54,2,213.08,2026-07-14 18:41:12
143,2026-01-18,Electronics,1299.23,749.45,5,549.78,2026-07-14 18:41:12
144,2026-01-18,Home & Kitchen,462.3,257.02,6,205.28000000000003,2026-07-14 18:41:12
145,2026-01-18,Sports,545.21,373.43,5,171.78000000000003,2026-07-14 18:41:12
146,2026-01-19,Books,20.14,13.09,1,7.050000000000001,2026-07-14 18:41:12
147,2026-01-19,Books,269.61,143.57,13,126.04000000000002,2026-07-14 18:41:12
148,2026-01-19,Clothing,449.98,227.36,11,222.62,2026-07-14 18:41:12
149,2026-01-19,Electronics,2801.77,1614.32,11,1187.45,2026-07-14 18:41:12
150,2026-01-19,Electronics,695.08,349.44,3,345.64000000000004,2026-07-14 18:41:12
151,2026-01-19,Electronics,1593.17,1111.16,6,482.01,2026-07-14 18:41:12
152,2026-01-19,Home & Kitchen,947.92,486.0,11,461.91999999999996,2026-07-14 18:41:12
153,2026-01-19,Home & Kitchen,1202.36,701.37,13,500.9899999999999,2026-07-14 18:41:12
154,2026-01-19,Sports,1062.34,729.34,9,332.9999999999999,2026-07-14 18:41:12
155,2026-01-20,Clothing,451.83,295.71,10,156.12,2026-07-14 18:41:12
156,2026-01-20,Clothing,128.18,75.64,3,52.540000000000006,2026-07-14 18:41:12
157,2026-01-20,Electronics,262.85,133.89,1,128.96000000000004,2026-07-14 18:41:12
158,2026-01-20,Electronics,716.21,387.79,3,328.42,2026-07-14 18:41:12
159,2026-01-20,Home & Kitchen,181.97,111.07,2,70.9,2026-07-14 18:41:12
160,2026-01-20,Sports,1806.56,1049.06,14,757.5,2026-07-14 18:41:12
161,2026-01-20,Sports,885.19,609.85,7,275.34000000000003,2026-07-14 18:41:12
162,2026-01-21,Books,38.8,23.98,2,14.819999999999997,2026-07-14 18:41:12
163,2026-01-21,Books,145.47,90.8,8,54.67,2026-07-14 18:41:12
164,2026-01-21,Books,157.17,106.07,8,51.099999999999994,2026-07-14 18:41:12
165,2026-01-21,Clothing,550.97,339.36,13,211.61,2026-07-14 18:41:12
166,2026-01-21,Clothing,140.34,92.53,3,47.81,2026-07-14 18:41:12
167,2026-01-21,Clothing,384.63,251.46,8,133.17,2026-07-14 18:41:12
168,2026-01-21,Electronics,2164.19,1211.06,8,953.1300000000001,2026-07-14 18:41:12
169,2026-01-21,Home & Kitchen,256.9,152.09,3,104.80999999999997,2026-07-14 18:41:12
170,2026-01-21,Home & Kitchen,275.61,157.0,3,118.61000000000001,2026-07-14 18:41:12
171,2026-01-21,Home & Kitchen,530.16,284.17,6,245.98999999999995,2026-07-14 18:41:12
172,2026-01-21,Sports,616.72,407.66,5,209.06,2026-07-14 18:41:12
173,2026-01-22,Clothing,612.9,368.16,14,244.73999999999995,2026-07-14 18:41:12
174,2026-01-22,Electronics,1374.53,927.42,6,447.11,2026-07-14 18:41:12
175,2026-01-22,Sports,114.65,75.81,1,38.84,2026-07-14 18:41:12
176,2026-01-22,Sports,1198.38,790.79,11,407.59000000000015,2026-07-14 18:41:12
177,2026-01-22,Sports,244.89,133.41,2,111.47999999999999,2026-07-14 18:41:12
178,2026-01-22,Sports,581.41,331.13,5,250.27999999999997,2026-07-14 18:41:12
179,2026-01-22,Sports,665.37,394.0,6,271.37,2026-07-14 18:41:12
180,2026-01-23,Clothing,525.84,311.56,12,214.28000000000003,2026-07-14 18:41:12
181,2026-01-23,Home & Kitchen,1212.46,736.35,13,476.11,2026-07-14 18:41:12
182,2026-01-23,Home & Kitchen,596.39,361.66,7,234.72999999999996,2026-07-14 18:41:12
183,2026-01-23,Sports,1088.8,599.37,10,489.42999999999995,2026-07-14 18:41:12
184,2026-01-23,Sports,237.48,144.04,2,93.44,2026-07-14 18:41:12
185,2026-01-24,Books,204.3,112.13,10,92.17000000000002,2026-07-14 18:41:12
186,2026-01-24,Books,211.57,126.88,10,84.69,2026-07-14 18:41:12
187,2026-01-24,Books,262.45,146.19,14,116.25999999999999,2026-07-14 18:41:12
188,2026-01-24,Books,122.08,79.24,6,42.84,2026-07-14 18:41:12
189,2026-01-24,Books,194.06,120.07,9,73.99000000000001,2026-07-14 18:41:12
190,2026-01-24,Electronics,235.57,133.21,1,102.35999999999999,2026-07-14 18:41:12
191,2026-01-24,Electronics,2776.55,1545.86,12,1230.6900000000003,2026-07-14 18:41:12
192,2026-01-24,Electronics,1593.07,802.35,7,790.7199999999999,2026-07-14 18:41:12
193,2026-01-24,Electronics,1707.05,860.38,7,846.67,2026-07-14 18:41:12
194,2026-01-24,Home & Kitchen,1067.51,733.1,13,334.40999999999997,2026-07-14 18:41:12
195,2026-01-24,Sports,680.45,389.95,6,290.50000000000006,2026-07-14 18:41:12
196,2026-01-25,Books,20.44,11.4,1,9.040000000000001,2026-07-14 18:41:12
197,2026-01-25,Books,236.08,156.62,11,79.46000000000001,2026-07-14 18:41:12
198,2026-01-25,Books,56.39,36.5,3,19.89,2026-07-14 18:41:12
199,2026-01-25,Books,147.59,85.54,8,62.05,2026-07-14 18:41:12
200,2026-01-25,Electronics,3269.62,2072.05,14,1197.5699999999997,2026-07-14 18:41:12
201,2026-01-25,Electronics,505.68,310.65,2,195.03000000000003,2026-07-14 18:41:12
202,2026-01-25,Home & Kitchen,1164.56,625.84,13,538.7199999999999,2026-07-14 18:41:12
203,2026-01-25,Home & Kitchen,232.14,131.7,3,100.44,2026-07-14 18:41:12
204,2026-01-25,Sports,1563.87,932.42,14,631.4499999999999,2026-07-14 18:41:12
205,2026-01-26,Books,235.61,161.77,12,73.84,2026-07-14 18:41:12
206,2026-01-26,Clothing,171.17,108.92,4,62.249999999999986,2026-07-14 18:41:12
207,2026-01-26,Electronics,2293.04,1362.79,9,930.25,2026-07-14 18:41:12
208,2026-01-26,Home & Kitchen,1096.39,734.74,14,361.6500000000001,2026-07-14 18:41:12
209,2026-01-26,Home & Kitchen,719.87,414.53,9,305.34000000000003,2026-07-14 18:41:12
210,2026-01-26,Sports,848.22,458.33,7,389.89000000000004,2026-07-14 18:41:12
211,2026-01-27,Books,241.27,159.01,13,82.26000000000002,2026-07-14 18:41:12
212,2026-01-27,Books,298.21,160.22,14,137.98999999999998,2026-07-14 18:41:12
213,2026-01-27,Electronics,3307.4,2105.48,13,1201.92,2026-07-14 18:41:12
214,2026-01-27,Home & Kitchen,960.01,654.32,11,305.68999999999994,2026-07-14 18:41:12
215,2026-01-27,Home & Kitchen,1061.1,689.21,13,371.8899999999999,2026-07-14 18:41:12
216,2026-01-28,Books,271.44,170.53,13,100.91,2026-07-14 18:41:12
217,2026-01-28,Books,302.06,198.67,14,103.39000000000001,2026-07-14 18:41:12
218,2026-01-28,Clothing,575.39,314.05,14,261.34,2026-07-14 18:41:12
219,2026-01-28,Clothing,190.58,118.92,4,71.66000000000001,2026-07-14 18:41:12
220,2026-01-28,Electronics,260.35,170.72,1,89.63000000000002,2026-07-14 18:41:12
221,2026-01-28,Electronics,3293.18,2116.9,14,1176.2799999999997,2026-07-14 18:41:12
222,2026-01-28,Electronics,2184.91,1263.53,9,921.3799999999999,2026-07-14 18:41:12
223,2026-01-28,Home & Kitchen,554.86,347.09,6,207.77000000000004,2026-07-14 18:41:12
224,2026-01-28,Sports,1387.22,722.16,11,665.0600000000001,2026-07-14 18:41:12
225,2026-01-28,Sports,475.87,295.42,4,180.45,2026-07-14 18:41:12
226,2026-01-28,Sports,892.78,487.32,8,405.46,2026-07-14 18:41:12
227,2026-01-29,Books,240.2,136.55,11,103.64999999999998,2026-07-14 18:41:12
228,2026-01-29,Books,83.46,51.73,4,31.729999999999997,2026-07-14 18:41:12
229,2026-01-29,Clothing,644.48,439.77,14,204.71000000000004,2026-07-14 18:41:12
230,2026-01-29,Clothing,385.24,248.56,9,136.68,2026-07-14 18:41:12
231,2026-01-29,Electronics,2924.66,1502.64,12,1422.0199999999998,2026-07-14 18:41:12
232,2026-01-29,Home & Kitchen,938.85,641.94,12,296.90999999999997,2026-07-14 18:41:12
233,2026-01-29,Sports,868.42,547.34,8,321.0799999999999,2026-07-14 18:41:12
234,2026-01-30,Books,128.1,72.56,6,55.53999999999999,2026-07-14 18:41:12
235,2026-01-30,Clothing,536.87,318.44,11,218.43,2026-07-14 18:41:12
236,2026-01-30,Clothing,373.76,217.87,9,155.89,2026-07-14 18:41:12
237,2026-01-30,Electronics,3315.13,1767.31,14,1547.8200000000002,2026-07-14 18:41:12
238,2026-01-30,Home & Kitchen,694.67,400.03,8,294.64,2026-07-14 18:41:12
239,2026-01-30,Sports,1825.95,1250.98,14,574.97,2026-07-14 18:41:12
240,2026-01-30,Sports,1016.41,668.35,9,348.05999999999995,2026-07-14 18:41:12
241,2026-01-31,Books,204.2,109.3,11,94.89999999999999,2026-07-14 18:41:12
242,2026-01-31,Books,108.81,61.18,6,47.63,2026-07-14 18:41:12
243,2026-01-31,Clothing,490.27,267.16,11,223.10999999999996,2026-07-14 18:41:12
244,2026-01-31,Electronics,982.92,508.24,4,474.67999999999995,2026-07-14 18:41:12
245,2026-01-31,Sports,112.27,77.71,1,34.56,2026-07-14 18:41:12
246,2026-01-31,Sports,1354.92,681.01,11,673.9100000000001,2026-07-14 18:41:12
247,2026-01-31,Sports,960.42,594.57,8,365.8499999999999,2026-07-14 18:41:12
248,2026-02-01,Books,0.0,0.0,0,0.0,2026-07-14 18:41:12
249,2026-02-01,Clothing,45.31,27.01,1,18.3,2026-07-14 18:41:12
250,2026-02-01,Clothing,232.15,117.33,5,114.82000000000001,2026-07-14 18:41:12
251,2026-02-01,Home & Kitchen,81.5,52.39,1,29.11,2026-07-14 18:41:12
252,2026-02-01,Home & Kitchen,238.78,160.55,3,78.22999999999999,2026-07-14 18:41:12
253,2026-02-01,Home & Kitchen,479.0,287.93,6,191.07,2026-07-14 18:41:12
254,2026-02-01,Home & Kitchen,648.82,407.98,8,240.84000000000003,2026-07-14 18:41:12
255,2026-02-01,Home & Kitchen,810.87,462.1,9,348.77,2026-07-14 18:41:12
256,2026-02-01,Sports,0.0,0.0,0,0.0,2026-07-14 18:41:12
257,2026-02-02,Clothing,85.38,55.02,2,30.359999999999992,2026-07-14 18:41:12
258,2026-02-02,Clothing,231.0,149.5,5,81.5,2026-07-14 18:41:12
259,2026-02-02,Electronics,935.71,590.01,4,345.70000000000005,2026-07-14 18:41:12
260,2026-02-02,Home & Kitchen,277.66,146.66,3,131.00000000000003,2026-07-14 18:41:12
261,2026-02-02,Home & Kitchen,385.41,256.73,5,128.68,2026-07-14 18:41:12
262,2026-02-02,Sports,1132.68,1076.05,10,56.63000000000011,2026-07-14 18:41:12
263,2026-02-02,Sports,1248.95,1186.5,10,62.450000000000045,2026-07-14 18:41:12
264,2026-02-02,Sports,221.89,210.8,2,11.089999999999975,2026-07-14 18:41:12
265,2026-02-02,Sports,348.18,330.77,3,17.410000000000025,2026-07-14 18:41:12
266,2026-02-02,Sports,632.86,601.22,5,31.639999999999986,2026-07-14 18:41:12
267,2026-02-03,Books,92.13,48.64,5,43.489999999999995,2026-07-14 18:41:12
268,2026-02-03,Clothing,0.0,0.0,0,0.0,2026-07-14 18:41:12
269,2026-02-03,Clothing,485.35,263.84,11,221.51000000000005,2026-07-14 18:41:12
270,2026-02-03,Clothing,191.34,114.73,4,76.61,2026-07-14 18:41:12
271,2026-02-03,Electronics,226.12,125.21,1,100.91000000000001,2026-07-14 18:41:12
272,2026-02-03,Electronics,2026.31,1412.49,8,613.8199999999999,2026-07-14 18:41:12
273,2026-02-03,Home & Kitchen,1025.58,620.62,11,404.9599999999999,2026-07-14 18:41:12
274,2026-02-03,Sports,114.54,108.81,1,5.730000000000004,2026-07-14 18:41:12
275,2026-02-04,Clothing,491.28,263.76,10,227.51999999999998,2026-07-14 18:41:12
276,2026-02-04,Electronics,1308.05,719.62,5,588.43,2026-07-14 18:41:12
277,2026-02-04,Electronics,1961.75,1283.34,8,678.4100000000001,2026-07-14 18:41:12
278,2026-02-04,Home & Kitchen,434.38,299.66,5,134.71999999999997,2026-07-14 18:41:12
279,2026-02-04,Home & Kitchen,503.59,344.0,6,159.58999999999997,2026-07-14 18:41:12
280,2026-02-04,Sports,379.51,360.53,3,18.980000000000018,2026-07-14 18:41:12
281,2026-02-04,Sports,839.04,797.09,7,41.94999999999993,2026-07-14 18:41:12
282,2026-02-05,Books,218.71,109.58,10,109.13000000000001,2026-07-14 18:41:12
283,2026-02-05,Books,38.52,25.48,2,13.040000000000003,2026-07-14 18:41:12
284,2026-02-05,Books,40.76,20.8,2,19.959999999999997,2026-07-14 18:41:12
285,2026-02-05,Clothing,174.4,99.46,4,74.94000000000001,2026-07-14 18:41:12
286,2026-02-05,Electronics,2520.95,1700.61,10,820.3399999999999,2026-07-14 18:41:12
287,2026-02-05,Electronics,2909.51,1856.59,11,1052.9200000000003,2026-07-14 18:41:12
288,2026-02-05,Electronics,1143.98,589.78,5,554.2,2026-07-14 18:41:12
289,2026-02-05,Electronics,1821.72,1128.84,7,692.8800000000001,2026-07-14 18:41:12
290,2026-02-05,Home & Kitchen,870.42,543.72,11,326.69999999999993,2026-07-14 18:41:12
291,2026-02-05,Sports,0.0,0.0,0,0.0,2026-07-14 18:41:12
292,2026-02-05,Sports,678.95,645.0,6,33.950000000000045,2026-07-14 18:41:12
293,2026-02-06,Books,96.31,58.55,5,37.760000000000005,2026-07-14 18:41:12
294,2026-02-06,Clothing,204.03,130.47,5,73.56,2026-07-14 18:41:12
295,2026-02-06,Clothing,247.47,151.24,5,96.22999999999999,2026-07-14 18:41:12
296,2026-02-06,Clothing,342.98,174.19,7,168.79000000000002,2026-07-14 18:41:12
297,2026-02-06,Electronics,249.47,135.77,1,113.69999999999999,2026-07-14 18:41:12
298,2026-02-06,Electronics,542.44,376.57,2,165.87000000000006,2026-07-14 18:41:12
299,2026-02-06,Home & Kitchen,85.38,53.7,1,31.679999999999993,2026-07-14 18:41:12
300,2026-02-06,Home & Kitchen,785.5,404.84,10,380.66,2026-07-14 18:41:12
301,2026-02-06,Sports,125.88,119.59,1,6.289999999999992,2026-07-14 18:41:12
302,2026-02-06,Sports,1045.41,993.14,9,52.270000000000095,2026-07-14 18:41:12
303,2026-02-07,Books,231.76,134.51,11,97.25,2026-07-14 18:41:12
304,2026-02-07,Books,83.72,41.92,4,41.8,2026-07-14 18:41:12
305,2026-02-07,Clothing,40.69,27.46,1,13.229999999999997,2026-07-14 18:41:12
306,2026-02-07,Clothing,425.97,215.06,10,210.91000000000003,2026-07-14 18:41:12
307,2026-02-07,Electronics,2819.24,1909.18,11,910.0599999999997,2026-07-14 18:41:12
308,2026-02-07,Electronics,1836.68,1041.9,8,794.78,2026-07-14 18:41:12
309,2026-02-07,Sports,130.54,124.01,1,6.529999999999987,2026-07-14 18:41:12
310,2026-02-07,Sports,1230.6,1169.07,10,61.52999999999997,2026-07-14 18:41:12
311,2026-02-07,Sports,1266.41,1203.09,11,63.320000000000164,2026-07-14 18:41:12
312,2026-02-08,Books,56.78,39.1,3,17.68,2026-07-14 18:41:12
313,2026-02-08,Books,109.65,74.22,5,35.43000000000001,2026-07-14 18:41:12
314,2026-02-08,Electronics,0.0,0.0,0,0.0,2026-07-14 18:41:12
315,2026-02-08,Home & Kitchen,956.21,510.05,11,446.16,2026-07-14 18:41:12
316,2026-02-08,Home & Kitchen,720.53,397.59,8,322.94,2026-07-14 18:41:12
317,2026-02-08,Sports,802.58,762.45,7,40.129999999999995,2026-07-14 18:41:12
